epoch,train_loss,train_acc,val_loss,val_acc
1,1.7809779594421387,0.707925,1.6453243084014602,0.8493730095541401
2,1.4770219326019287,0.99445,1.4616935055726652,1.0
3,1.5992586700439453,0.8614625,1.534991240045827,0.9270501592356688
4,1.4620486057281494,0.9993,1.4612112789397027,1.0
5,1.461173893928528,1.0,1.4611551921079113,1.0
6,1.461151831626892,1.0,1.461150851219323,1.0
7,1.4611507734298705,1.0,1.4611507654190063,1.0
8,1.4611507654190063,1.0,1.4611507654190063,1.0
9,1.7421289928436279,0.718125,1.7619155463139722,0.6992933917197452
10,1.792873027420044,0.6643125,1.7511106630799118,0.6992933917197452
11,1.7509298845291137,0.69935,1.7509226373806122,0.6992933917197452
12,1.7252105125427246,0.7280875,1.6556925834364193,0.8024482484076433
13,1.6352679491043092,0.8227875,1.4661446870512265,1.0
14,1.533736960220337,0.926975,1.5553281945028123,0.9024183917197452
15,1.5631414707183837,0.8945625,1.5552327936621988,0.9024183917197452
16,1.5632423782348632,0.8948375,1.558795442247087,0.9024183917197452
17,1.5410529973983764,0.920075,1.4612643361850908,1.0
18,1.4611857210159303,1.0,1.461157202720642,1.0
19,1.4611528133392333,1.0,1.4611509787808559,1.0
20,1.461150816345215,1.0,1.4611507654190063,1.0
21,1.471322091293335,0.989825,1.464051763722851,0.9976612261146497
22,1.461221418952942,0.99995,1.4611508208475295,1.0
23,1.461150779914856,1.0,1.461150766937596,1.0
24,1.4611507659912109,1.0,1.4611507654190063,1.0
25,1.4611507654190063,1.0,1.4611507654190063,1.0
26,1.4636498653411865,0.9974875,1.4611508861468856,1.0
27,1.4611508283615113,1.0,1.4611507737712495,1.0
28,1.461150768470764,1.0,1.4611507654190063,1.0
29,1.4611507654190063,1.0,1.4611507654190063,1.0
30,1.4611507654190063,1.0,1.4611507654190063,1.0
31,1.4621884588241578,0.9989625,1.46115077225266,1.0
32,1.4611507667541503,1.0,1.4611507654190063,1.0
33,1.4611507654190063,1.0,1.4611507654190063,1.0
34,1.4611507654190063,1.0,1.4611507654190063,1.0
35,1.4611507654190063,1.0,1.4611507654190063,1.0
36,1.4652878454208373,0.995875,1.4611507692154806,1.0
37,1.4611507663726806,1.0,1.4611507654190063,1.0
38,1.4611507654190063,1.0,1.4611507654190063,1.0
39,1.4611507654190063,1.0,1.4611507654190063,1.0
40,1.4616485580444336,0.9995,1.4611508481821436,1.0
41,1.4611508234024049,1.0,1.4611507768084289,1.0
42,1.461150767326355,1.0,1.4611507654190063,1.0
43,1.4611507654190063,1.0,1.4611507654190063,1.0
44,1.4611507654190063,1.0,1.4611507654190063,1.0
45,1.4611507654190063,1.0,1.4611507654190063,1.0
46,1.4620701194763184,0.9990875,1.4611507707340703,1.0
47,1.4611508001327516,1.0,1.4611507661783012,1.0
48,1.4611507654190063,1.0,1.4611507661783012,1.0
49,1.4611507654190063,1.0,1.4611507654190063,1.0
50,1.4611507654190063,1.0,1.4611507654190063,1.0
51,1.4611507654190063,1.0,1.4611507654190063,1.0
52,1.4611507654190063,1.0,1.4611507654190063,1.0
53,1.461214225578308,0.9999375,1.461150766937596,1.0
54,1.4611507688522338,1.0,1.4611507654190063,1.0
55,1.461150765609741,1.0,1.4611507654190063,1.0
56,1.4611507654190063,1.0,1.4611507654190063,1.0
57,1.4612035785675048,0.9999375,1.4611507654190063,1.0
58,1.4611507654190063,1.0,1.4611507654190063,1.0
59,1.4611507654190063,1.0,1.4611507654190063,1.0
60,1.461150765609741,1.0,1.4611507654190063,1.0
61,1.4611507654190063,1.0,1.4611507654190063,1.0
62,1.4611507703781128,1.0,1.4611507654190063,1.0
63,1.4611507654190063,1.0,1.4611507654190063,1.0
64,1.4611507654190063,1.0,1.4611507654190063,1.0
65,1.4611507654190063,1.0,1.4611507654190063,1.0
66,1.4611507654190063,1.0,1.4611507654190063,1.0
67,1.4611507654190063,1.0,1.4611507654190063,1.0
68,1.4611507654190063,1.0,1.4611507654190063,1.0
69,1.4611507654190063,1.0,1.4611507654190063,1.0
70,1.4611507654190063,1.0,1.4611507654190063,1.0
71,1.4611507654190063,1.0,1.4611507654190063,1.0
72,1.4611507654190063,1.0,1.4611507654190063,1.0
73,1.4611507654190063,1.0,1.4611507654190063,1.0
74,1.4611507654190063,1.0,1.4611507654190063,1.0
75,1.4611507654190063,1.0,1.4611507654190063,1.0
76,1.4611507654190063,1.0,1.4611507654190063,1.0
77,1.4611507654190063,1.0,1.4611507654190063,1.0
78,1.4611507654190063,1.0,1.4611507654190063,1.0
79,1.4611507654190063,1.0,1.4611507654190063,1.0
80,1.4611507654190063,1.0,1.4611507654190063,1.0
81,1.4611507654190063,1.0,1.4611507654190063,1.0
82,1.4611507654190063,1.0,1.4611507654190063,1.0
83,1.4611507654190063,1.0,1.4611507654190063,1.0
84,1.4611507654190063,1.0,1.4611507654190063,1.0
85,1.4611507654190063,1.0,1.4611507654190063,1.0
86,1.4611507654190063,1.0,1.4611507654190063,1.0
87,1.4611507654190063,1.0,1.4611507654190063,1.0
88,1.4611507654190063,1.0,1.4611507654190063,1.0
89,1.4611507654190063,1.0,1.4611507654190063,1.0
90,1.4611507654190063,1.0,1.4611507654190063,1.0
91,1.4611507654190063,1.0,1.4611507654190063,1.0
92,1.4611507654190063,1.0,1.4611507654190063,1.0
93,1.4611507654190063,1.0,1.4611507654190063,1.0
94,1.4611507654190063,1.0,1.4611507654190063,1.0
95,1.4611507654190063,1.0,1.4611507654190063,1.0
96,1.4611507654190063,1.0,1.4611507654190063,1.0
97,1.4611507654190063,1.0,1.4611507654190063,1.0
98,1.4611507654190063,1.0,1.4611507654190063,1.0
99,1.4611507654190063,1.0,1.4611507654190063,1.0
100,1.4611507654190063,1.0,1.4611507654190063,1.0
